,precision,recall,f1-score,support
mutated,0.3333333333333333,0.17647058823529413,0.23076923076923078,34.0
reference,0.948905109489051,0.9774436090225563,0.9629629629629629,532.0
accuracy,0.9293286219081273,0.9293286219081273,0.9293286219081273,0.9293286219081273
macro avg,0.6411192214111922,0.5769570986289252,0.5968660968660968,566.0
weighted avg,0.9119272996139727,0.9293286219081273,0.9189795938912546,566.0
